lastroad,nextroad,nexthome,lasthome,road,home,diff,count,firstroad,firsthome,firstdiff,secondroad,secondhome,seconddiff
2,0,1,345,100.15,104.05,-3.9,39,49.65,50.89,-1.24,50.5,53.16,-2.66
2,0,2,0,95.36,100.7,-5.34,48,48.08,51.1,-3.02,47.28,49.6,-2.32
2,0,2,1,97.59,101.4,-3.81,125,49.42,50.83,-1.41,48.17,50.57,-2.4
2,0,2,2,97.85,99.28,-1.43,82,49.35,50.4,-1.05,48.5,48.88,-0.38
2,0,2,345,97.33,98.5,-1.17,13,52,49.66,2.34,45.33,48.84,-3.51
2,0,345,0,96,99.11,-3.11,10,48.66,50.55,-1.89,47.34,48.56,-1.22
2,0,345,1,95.5,98.92,-3.42,41,47.72,49.27,-1.55,47.78,49.65,-1.87
2,0,345,23,94.11,98.17,-4.06,18,48.94,48.47,0.47,45.17,49.7,-4.53
2,1,0,1,98.41,101.69,-3.28,66,50.09,51.04,-0.95,48.32,50.65,-2.33
2,1,0,2,95.84,99.84,-4,33,47.25,50.78,-3.53,48.59,49.06,-0.47
2,1,0,345,94.87,99.62,-4.75,9,48.87,49.5,-0.63,46,50.12,-4.12
2,1,1,0,101.35,102.03,-0.68,57,52.03,50.28,1.75,49.32,51.75,-2.43
2,1,1,1,97.59,99.98,-2.39,277,48.68,50.44,-1.76,48.91,49.54,-0.63
2,1,1,2,98.19,101.28,-3.09,105,48.42,50.49,-2.07,49.77,50.79,-1.02
2,1,1,345,96.81,99.18,-2.37,33,47.34,51.21,-3.87,49.47,47.97,1.5
2,1,2,0,98.44,99.72,-1.28,19,50.88,50,0.88,47.56,49.72,-2.16
2,1,2,1,99.11,100.96,-1.85,61,48.78,48.76,0.02,50.33,52.2,-1.87
2,1,2,2,97.25,104.16,-6.91,32,47.96,53.74,-5.78,49.29,50.42,-1.13
2,1,2,345,101.83,97,4.83,7,54.5,48.66,5.84,47.33,48.34,-1.01
2,1,345,0,92.33,99.66,-7.33,4,51.33,58.33,-7,41,41.33,-0.33
2,1,345,1,97.8,102.9,-5.1,22,51.04,50.52,0.52,46.76,52.38,-5.62
2,1,345,2,81,99.75,-18.75,4,38.5,54.5,-16,42.5,45.25,-2.75
2,2,0,1,97.18,100.18,-3,12,49,52,-3,48.18,48.18,0
2,2,0,2,102.37,97,5.37,9,50,50.12,-0.12,52.37,46.88,5.49
2,2,0,345,99,102.75,-3.75,4,49.75,52,-2.25,49.25,50.75,-1.5
2,2,1,0,99,99.9,-0.9,12,49,48.63,0.37,50,51.27,-1.27
2,2,1,1,96.06,100.58,-4.52,47,48.28,48.82,-0.54,47.78,51.76,-3.98
2,2,1,2,94.07,95.17,-1.1,29,47.32,46.57,0.75,46.75,48.6,-1.85
2,2,1,345,98.62,109.12,-10.5,9,50.25,55.5,-5.25,48.37,53.62,-5.25
2,2,2,0,89.75,92.08,-2.33,13,46.33,45.25,1.08,43.42,46.83,-3.41
2,2,2,1,97,96.75,0.25,17,48,48.87,-0.87,49,47.88,1.12
2,2,2,2,99.73,98.12,1.61,16,50,50.13,-0.13,49.73,47.99,1.74
2,2,2,345,81.5,90,-8.5,3,42,44,-2,39.5,46,-6.5
2,2,345,0,90.25,96.75,-6.5,4,49,46.25,2.75,41.25,50.5,-9.25
2,2,345,1,92.83,96.83,-4,6,45.66,47.83,-2.17,47.17,49,-1.83
2,2,345,2,91.4,92.2,-0.8,6,46.2,44.8,1.4,45.2,47.4,-2.2
2,345,0,1,90.83,92.5,-1.67,6,43.66,46.16,-2.5,47.17,46.34,0.83
2,345,0,2,90,97.25,-7.25,4,42.75,47,-4.25,47.25,50.25,-3
2,345,0,345,-,-,-,-,-,-,----,,,
2,345,1,0,90.33,107.33,-17,3,43.33,58,-14.67,47,49.33,-2.33
2,345,1,1,97.14,95,2.14,7,48.42,45.28,3.14,48.72,49.72,-1
2,345,1,2,102.83,106.5,-3.67,6,53.16,52.66,0.5,49.67,53.84,-4.17
2,345,1,345,-,-,-,-,-,-,,,,
2,345,2,0,100,99.33,0.67,3,48,54,-6,52,45.33,6.67
2,345,2,1,101.75,94,7.75,4,50.25,43,7.25,51.5,51,0.5
2,345,2,2,96.66,108.33,-11.67,3,51,60,-9,45.66,48.33,-2.67
345,0,0,1,94.9,98,-3.09,31,48.53,48.36,0.17,46.37,49.64,-3.27
345,0,0,2,96.8,94.76,2.04,26,49.76,48.04,1.72,47.04,46.72,0.32
345,0,0,345,94.78,99.01,-4.23,52,46.21,49.58,-3.37,48.57,49.43,-0.86
345,0,1,0,97.76,97.76,0,31,48.83,48.16,0.67,48.93,49.6,-0.67
345,0,1,1,97.67,99.76,-2.09,90,47.6,49.69,-2.09,50.07,50.07,0
345,0,1,2,97.2,100.23,-3.03,40,46.89,50.02,-3.13,50.31,50.21,0.1
345,0,2,1,100.46,103.42,-2.96,29,49.6,51.28,-1.68,50.86,52.14,-1.28
345,0,2,0,93.83,95,-1.17,6,44.33,49.83,-5.5,49.5,45.17,4.33
345,1,2,0,96.33,90.16,6.17,7,49.16,42.5,6.66,47.17,47.66,-0.49
345,1,0,2,97.42,100.28,-2.86,7,48.71,52,-3.29,48.71,48.28,0.43
345,1,1,0,92.76,99.4,-6.64,31,47.63,49.7,-2.07,45.13,49.7,-4.57
345,1,0,1,95.69,98.46,-2.77,14,52.61,49.84,2.77,43.08,48.62,-5.54
345,2,2,0,96.33,90.16,6.17,6,49.16,42.5,6.66,47.17,47.66,-0.49
345,2,0,2,97.42,100.28,-2.86,7,48.71,52,-3.29,48.71,48.28,0.43
0,2,0,2,94.01,99.84,-5.83,51,47.55,50.88,-3.33,46.46,48.96,-2.5
