year,date,time,week,roadlast,roadnext,roadteam,roadmore,roadfirst,roadsecond,roadfirsthalf,roadthird,roadforth,roadot,homenext,homenextfly,homelast,homelastfly,hometeam,homemore,homefirst,homesecond,homefirsthalf,homethird,homeforth,homeot,homediff,roadtotal,hometotal,total,firstpoint,secondpoint,totalpoint,firstlinetotal,secondlinetotal,fglinetotal,firstside,secondside,fgside,awaylastfly,awaynextfly,away_win_rank,away_ppg_rank,away_oppppg_rank,home_win_rank,home_ppg_rank,home_oppppg_rank,hometeamlastgame,roadteamlastgame,pace,away_ortg,home_ortg,away_last_home,away_next_home,offset_one,offset_two,firstvalue,secondvalue,totalvalue,first_half_bigger,second_half_bigger,fullgame_bigger
2018,28-Mar,07:00PM,Wed,0,1,Portland,PACIFIC,28,30,58,23,22,0,1,YES,1,YES,Memphis,CENTRAL,20,33,53,23,32,0,-5,103,108,211,111,100,211,97,104.5,200.5,3,2,5.5,NO,YES,5,15,26,28,30,20,NO,NO,95.3,108,113.3,4,1,-6.52,-5.84,104.48,94.16,198.64,AWAY,HOME,HOME
2018,28-Mar,07:00PM,Wed,2,1,Atlanta,EASTERN,32,25,57,31,26,0,1,YES,1,NO,Minnesota,CENTRAL,34,31,65,33,28,0,8,114,126,240,122,118,240,105,115,220.5,-7,-5,-11.5,NO,YES,29,22,7,10,6,13,NO,NO,102.6,111.1,122.8,12,1,-6.52,-5.84,115.48,112.16,227.64,HOME,AWAY,HOME
2018,28-Mar,07:30PM,Wed,1,2,Boston,EASTERN,18,30,48,19,30,0,1,NO,2,YES,Utah,MOUNTAIN,24,15,39,32,23,0,-9,97,94,191,87,104,191,93.5,101,193.5,-6.5,-11,-10.5,NO,YES,4,20,29,13,23,28,NO,NO,91.6,105.8,102.6,7,2,-6.52,-5.84,80.48,98.16,178.64,AWAY,AWAY,AWAY
2018,28-Mar,07:00PM,Wed,0,1,LAC,PACIFIC,27,31,58,27,26,0,1,YES,1,NO,Phoenix,PACIFIC,32,24,56,26,17,0,-2,111,99,210,114,96,210,114,108,222.5,6,7,11,YES,NO,14,8,10,30,21,1,NO,NO,99.9,111.1,99.1,0,3,-6.52,-5.84,107.48,90.16,197.64,HOME,AWAY,AWAY
2018,28-Mar,07:30PM,Wed,0,1,Dallas,CENTRAL,34,22,56,25,12,0,1,NO,1,YES,LAL,PACIFIC,32,23,55,27,21,0,-1,93,103,196,111,85,196,110.5,106,217.5,-4.5,-6,-8.5,NO,YES,26,27,19,21,10,6,NO,NO,96,96.8,107.2,3,1,-6.52,-5.84,104.48,79.16,183.64,AWAY,HOME,HOME
2018,29-Mar,07:00PM,Thu,1,1,Washington,EASTERN,24,25,49,17,26,0,1,YES,2,NO,Detroit,EASTERN,23,26,49,32,22,0,0,92,103,195,98,97,195,105,102,208,1,2.5,2.5,YES,YES,15,13,17,19,25,25,NO,NO,96.1,95.7,107.1,1,1,-6.52,-5.84,91.48,91.16,182.64,HOME,HOME,HOME
2018,29-Mar,07:30PM,Thu,1,0,Chicago,CENTRAL,21,25,46,22,24,0,1,NO,1,NO,Miami,EASTERN,29,22,51,27,25,0,5,92,103,195,97,98,195,104.5,103.5,208,-8,-6,-13,NO,NO,25,26,4,14,24,27,NO,NO,101.2,90.9,101.8,5,2,-6.52,-5.84,90.48,92.16,182.64,AWAY,0,AWAY
2018,29-Mar,07:00PM,Thu,3,0,Oklahoma City,CENTRAL,29,27,56,25,18,0,2,NO,1,YES,San Antonio,CENTRAL,24,35,59,18,26,0,3,99,103,202,115,87,202,106.5,102.5,209,0,0.5,-1,YES,YES,10,12,23,9,28,30,NO,NO,95.4,103.8,108,3,0,-6.52,-5.84,108.48,81.16,189.64,HOME,HOME,HOME
2018,29-Mar,07:00PM,Thu,1,2,Indiana,EASTERN,28,33,61,18,27,0,1,NO,1,NO,Sacramento,PACIFIC,28,28,56,23,24,0,-5,106,103,209,117,92,209,104,99,204.5,4,4,8,NO,NO,6,17,24,23,29,15,NO,NO,90.8,116.8,113.5,3,6,-6.52,-5.84,110.48,86.16,196.64,AWAY,HOME,HOME
2018,29-Mar,07:30PM,Thu,1,0,Milwaukee,CENTRAL,29,29,58,34,24,0,1,YES,1,NO,Golden State,PACIFIC,27,22,49,23,35,0,-9,116,107,223,107,116,223,108.5,102.5,212.5,-2,-1.5,-4,NO,NO,17,15,16,3,1,14,NO,NO,97.3,119.3,110,3,4,-6.52,-5.84,100.48,110.16,210.64,AWAY,AWAY,AWAY
2018,30-Mar,07:00PM,Fri,0,1,Chicago,CENTRAL,30,27,57,9,24,0,1,YES,1,NO,Orlando,EASTERN,24,20,44,25,13,0,-13,90,82,172,101,71,172,105.5,103.5,209,-3.5,-7.5,-6.5,NO,YES,23,26,6,27,20,8,NO,NO,97,92.8,84.5,6,1,-6.52,-5.84,94.48,65.16,159.64,AWAY,AWAY,AWAY
2018,30-Mar,07:30PM,Fri,1,1,Philadelphia,EASTERN,30,17,47,39,15,0,1,NO,1,YES,Atlanta,EASTERN,27,14,41,18,32,0,-6,101,91,192,88,104,192,112,109.5,223,3.5,2.5,7.5,YES,NO,8,9,18,29,22,7,NO,NO,105.4,95.8,86.3,1,3,-6.52,-5.84,81.48,98.16,179.64,AWAY,AWAY,AWAY
2018,30-Mar,08:00PM,Fri,2,1,New Orleans,CENTRAL,29,28,57,22,23,0,1,NO,1,YES,Cleveland,EASTERN,29,18,47,33,27,0,-10,102,107,209,104,105,209,119.5,112.5,231.5,-2.5,-6.5,-4.5,YES,YES,13,4,2,6,5,5,NO,NO,94.9,107.4,112.7,2,1,-6.52,-5.84,97.48,99.16,196.64,AWAY,HOME,HOME
2018,30-Mar,07:00PM,Fri,1,1,Phoenix,PACIFIC,25,32,57,29,17,0,1,YES,2,NO,Houston,CENTRAL,22,18,40,35,29,0,-17,103,104,207,97,110,207,106,111,216,-10.5,-16,-17.5,YES,NO,30,21,1,1,2,23,NO,NO,95.4,108,109,1,3,-6.52,-5.84,90.48,104.16,194.64,AWAY,HOME,AWAY
2018,30-Mar,07:00PM,Fri,2,1,Denver,MOUNTAIN,27,35,62,30,22,12,1,YES,0,YES,Oklahoma City,CENTRAL,28,30,58,21,35,11,-4,126,125,251,120,108,228,115,110,225.5,-2,-3.5,-3.5,NO,YES,18,6,9,10,12,22,NO,NO,96,118.8,117.9,14,1,-6.52,-5.84,113.48,102.16,215.64,AWAY,HOME,AWAY
2018,30-Mar,07:30PM,Fri,1,1,Minnesota,CENTRAL,16,28,44,23,26,0,1,YES,1,YES,Dallas,CENTRAL,20,26,46,18,28,0,2,93,92,185,90,95,185,109,106.5,216,3,4.5,5,YES,YES,9,7,13,26,28,19,NO,NO,93.9,99,97.9,1,1,-6.52,-5.84,83.48,89.16,172.64,HOME,HOME,HOME
